Offense Type,Average Bail Paid 2022,Total Defendants Released Post-PFA Who Would Have Paid Bail,Bail Costs Avoided
Not Detainable,354,5656,2002224
Detainable - Willful Flight,1528,1125,1719000
DV/VOOP,855,1045,893475
Detainable - Public Safety,4343,475,2062925
Total,,,6677624
