County,Conditions,Detention
Boone,33.3,100
Cook,2,13.9
DuPage,17.2,52.6
Kane,92.3,84.6
Lake,93.8,92.3
McLean,52.9,100
Will,0,-
Williamson,100,100
Winnebago,90.2,66.7
