,Pre-PFA (ROR or Released w/in 7 Days),Post-PFA (ROR at Initial Hearing)
Not Detainable,85.20%,97.90%
Detainable - Willful Flight,49.30%,86.50%
DV/VOOP,56.70%,74.60%
Detainable - Public Safety,31.20%,54.30%
All Offense Types,75.00%,91.90%
