Case Type,Citation/Warrant,Held for First Appearance
Pre-PFA Misdemeanor,551,4862
Pre-PFA DV/VOOP,353,2599
Pre-PFA Felony,655,4683
Post-PFA Misdemeanor,2926,1347
Post-PFA DV/VOOP,152,3224
Post-PFA Felony,1133,4431
