offense type,ROR/Released at Court,Bail/Detained at Court
Pre-PFA Misdemeanor,2361,2501
Pre-PFA DV/VOOP,52,2547
Pre-PFA Felony,75,4608
Post-PFA Misdemeanor,1345,2
Post-PFA DV/VOOP,2944,280
Post-PFA Felony,3755,676
