Year,Citation,Release ROR/Conditions,Monetary Bail
2022 Q2,17.13%,20.27%,17.62%
2022 Q3,18.84%,20.19%,17.76%
2022 Q4,18.35%,21.44%,17.67%
2023 Q1,18.42%,17.96%,17.51%
2023 Q2,20.42%,19.93%,16.45%
2023 Q3,22.47%,20.90%,18.71%
2023 Q4,27.41%,20.39%,
2024 Q1,29.98%,21.55%,
2024 Q2,29.26%,23.14%,
2024 Q3,30.78%,22.28%,
2024 Q4,30.19%,22.51%,
2025 Q1,29.80%,20.37%,
