,Overall,Non-Detainable Misdemeanor,Non-Detainable Felony,Detainable Willful Flight Felony,Detainable Public Safety Misdemeanor,Detainable Public Safety Felony
Pre-PFA,13.1,16.2,10.4,17.8,6.9,10.1
Post-PFA,13.4,15.8,12.2,19.2,7.4,9
