Year,Overall 6-Month FTA Rate,6-Month FTA Warrant Rate,6-Month Uncured FTA Rate
2022 Q2,25.68%,11.71%,16.49%
2022 Q3,29.99%,14.12%,21.45%
2022 Q4,27.51%,13.19%,20.40%
2023 Q1,23.63%,11.57%,15.40%
2023 Q2,24.29%,12.10%,16.96%
2023 Q3,27.12%,15.52%,19.18%
2023 Q4,32.40%,15.26%,20.72%
2024 Q1,35.02%,18.48%,23.77%
2024 Q2,36.74%,16.94%,22.16%
2024 Q3,33.27%,15.12%,18.95%
2024 Q4,37.13%,16.92%,22.25%
2025 Q1,33.06%,15.35%,19.04%
