,Overall,Non-Detainable Misdemeanor,Non-Detainable Felony,Detainable Willful Flight Felony,Detainable Public Safety Misdemeanor,Detainable Public Safety Felony
Pre-PFA,5.3,5.8,2.9,5.9,5,5.2
Post-PFA,4.7,5,2.8,5.2,5.3,4.4
