,Pre-PFA,Post-PFA
Misdemeanor Non-Detainable,15.3,15.3
Felony Non-Detainable Under Public Safety Consideration,14.4,16
Misd. Or Felony Detainable Under Public Safety Offense,8.1,8.4
All Offenses,12.5,13
