offense type,ROR/Released at Court,Bail/Detained at Court
Pre-PFA Detainable - public safety,86,1958
Pre-PFA Detainable - willful flight,23,1636
Pre-PFA Domestic violence/VOOP,3,2001
Pre-PFA Not detainable,2376,4061
Post-PFA Detainable - public safety,1416,619
Post-PFA Detainable - willful flight,1439,78
Post-PFA Domestic violence/VOOP,2193,198
Post-PFA Not detainable,2996,63
