,Detainable (Public Safety),All Other Offenses
Urban County 1,58.1,69.5
Urban County 2,58.1,81
Suburban County 1,60,65.8
Suburban County 2,59.8,68
Rural County 1,67.4,78.1
Rural County 2,57,87
