,Detainable - Public Safety
Non-Probationable Forcible Felony and Sex Offenses,3.05
Non-Probationable Felony,6.0088
Weapons,6.2903
Domestic Violence/VOOP,17.5191
Class 3+ Felony,11.3743
Non-detainable,55.7575
