County,Percent change in jail population
"Cook (ADP 4,883)",-10.708
Winnebago (740),-3.886
Will (506),-16.681
Lake (420),-15.845
Macon (252),-14.583
Kendall (82),-4.83
Franklin (70),-27.888
Woodford (56),-31.367
Randolph (10),-52.837
