County,Detainable (Public Safety),All Other Offenses
1,81.9539,85.7846
2,100,98.6111
3,85.1852,91.5129
4,99.7164,98.619
5,92.6282,72.8378
6,15.7676,19.6774
7,83.1731,74.9784
8,48.75,19.4412
9,100,84.6154
10,100,96.5154
11,92.7686,73.3051
12,84,77
13,65,15
14,60,50
