County,Min,Median,Max
Cook Pre-PFA,1,2.5,7
Cook Post-PFA,1,5,49
,,,
Lake Pre-PFA,2,4,5
Lake -Post PFA,1,3,8
,,,
McLean Pre-PFA,4,6,11
McLean Post-PFA,1,5,39
,,,
Winnebago Pre-PFA,3,4.5,12
Winnebago Post-PFA,1,4,12
