Offense Type,Pre-PFA,Post-PFA
Non-Detainable Misdemeanors,25.30%,20.20%
Non-Detainable Felonies,28.10%,31.00%
Detainable Misdemeanors,20.00%,12.20%
Detainable Felonies,21.00%,16.10%
All Offenses,25.10%,22.80%
