Offense Type,Pre-PFA,Post-PFA
Non-Detainable Misdemeanors,16.80%,13.10%
Non-Detainable Felonies,11.80%,15.70%
Detainable Misdemeanors,5.30%,4.30%
Detainable Felonies,6.80%,8.90%
All Offenses,12.20%,11.30%
