,Pre-PFA,Post-PFA
Non-Detainable Misdemeanor,19.6,11.3
Non-Detainable Felony,32.9,24.2
Detainable Willful Flight Felony,18.6,20
Detainable Public Safety Misdemeanor,11,12.4
Detainable Public Safety Felony,10.3,7.1
