,Pre-PFA,Post-PFA
Non-Detainable Misdemeanor,49.7,1.2
Non-Detainable Felony,84.6,15.9
Detainable Willful Flight Felony,86.5,17.3
Detainable Public Safety Misdemeanor,89.3,17.6
Detainable Public Safety Felony,90.8,68.1
