,Pre-PFA,Post-PFA
Carroll,26.5,21.2
Ford,23,23.8
Franklin,18.9,12.7
Fulton,15.7,30.5
Hancock,16.4,16.5
Henderson,22.7,19.4
Jefferson,15.6,16.8
Jo Daviess,25.4,20.2
Knox,22.4,14.2
Lawrence,13.5,12.2
Livingston,21.2,22.1
Logan,25.8,15.4
McDonough,25.8,28.5
Ogle,26.1,26.3
Stephenson,12.7,27.6
Warren,28.6,28.4
Wayne,14.6,9.5
White,9,6.9
Woodford,35.5,28.1
2nd,15.8,12.2
9th,22,21
11th,25.9,22.7
15th,21.1,25.5
Overall,20.1,18.8
