,Pre-PFA,Post-PFA
Non-Detainable Misdemeanor,48.5,2.2
Non-Detainable Felony,80.5,20.6
Detainable Willful Flight Felony,87.5,20.4
Detainable Public Safety Misdemeanor,86,14.7
Detainable Public Safety Felony,93.4,67.4
