,Pre-PFA,Post-PFA
Non-Detainable Misdemeanor,17.3,13.2
Non-Detainable Felony,14.7,40.3
Detainable Willful Flight Felony,10.2,31.9
Detainable Public Safety Misdemeanor,6.3,12.5
Detainable Public Safety Felony,9,9.7
