,Pre-PFA (ROR or Released w/in 7 days),Post-PFA ROR at Initial Hearing
Not Detainable,90.57%,98.95%
Detainable - Willful Flight,70.62%,93.50%
DV/VOOP,84.66%,90.29%
Detainable - Public Safety,70.86%,69.84%
