Offense Type,Pre-PFA,Post-PFA
Not Detainable,12.24%,1.05%
Detainable - Willful Flight,34.60%,6.50%
DV/VOOP,20.65%,9.71%
Detainable - Public Safety,32.91%,30.16%
Total,19.12%,6.61%
