Offense Type,Pre-PFA,Post-PFA
Not Detainable,19.9%,2.1%
Detainable - Willful Flight,60.1%,13.9%
DV/VOOP,53.9%,26.9%
Detainable - Public Safety,77.3%,50.1%
Total,30.8%,8.0%
