Offense Type,Pre-PFA ,Post-PFA
Non-Detainable Misdemeanors,92.00%,99.00%
Non-Detainable Felonies,87.00%,89.00%
Detainable Misdemeanors,95.00%,80.00%
Detainable Felonies,81.00%,54.00%
All Offenses,91.00%,91.00%
