Offense Type,Pre-PFA,Post-PFA
Not Detainable,34.40%,2.10%
Detainable - Willful Flight,74.70%,13.50%
DV/VOOP,73.80%,25.40%
Detainable - Public Safety,86.80%,45.70%
Total,46.80%,8.10%
