Offense Type,Pre-PFA,Post-PFA
Not Detainable,49.43%,1.05%
Detainable - Willful Flight,87.12%,6.50%
DV/VOOP,85.54%,9.71%
Detainable - Public Safety,84.71%,30.16%
Total,64.40%,6.61%
