Offense Type,Pre-PFA,Post-PFA
Not Detainable,49.90%,1.00%
Detainable - Willful Flight,87.50%,6.50%
DV/VOOP,85.70%,9.10%
Detainable - Public Safety,84.60%,30.00%
Total,65.00%,6.50%
