Offense Type,Pre-PFA ,Post-PFA
Non-Detainable Misdemeanors,88.00%,99.00%
Non-Detainable Felonies,53.00%,89.00%
Detainable Misdemeanors,62.00%,80.00%
Detainable Felonies,35.00%,54.00%
All Offenses,73.00%,91.00%
