,Pre-PFA (ROR or Released w/in 3 days),Post-PFA ROR at Initial Hearing
Not Detainable,81.50%,97.90%
Detainable - Willful Flight,39.80%,86.50%
DV/VOOP,48.70%,74.60%
Detainable - Public Safety,20.70%,54.30%
All Offense Types,69.60%,91.90%
