Offense Type,Pre-PFA (Bond/Detained at Initial Hearing),Post-PFA (Detained at Initial Hearing)
Non-Detainable Misdemeanors,35.00%,1.00%
Non-Detainable Felonies,73.00%,11.20%
Detainable Misdemeanors,68.00%,19.50%
Detainable Felonies,86.00%,46.00%
All Offenses,51.00%,9.00%
