,Pre-PFA,Post-PFA
Non-detainable misdemeanor,22.2,27.7
Non-detainable felony,17.7,28
Detainable willful flight felony,24.5,34.7
Detainable public safety misdemeanor,12,14
Detainable public safety felony,15,20.4
Overall,18.7,24.6
