,Pre-PFA FTA Warrant,Post-PFA FTA Warrant,Pre-PFA FTA,Post-PFA FTA
Citation,16,19.4,18.6,35.3
Release ROR/Conditions,13.9,11.1,20.3,20
Monetary Bail/Detained,10.8,6.9,19.2,23.6
Overall,13.6,14.8,19.5,27.1
