,Pre-PFA,Post-PFA
Non-detainable misdemeanor,19.7,28.8
Non-detainable felony,9.4,30.2
Detainable willful flight felony,8.7,33.9
Detainable public safety misdemeanor,8.6,20.8
Detainable public safety felony,11.9,25.6
Overall,18.1,29.1
