,Pre-PFA,Post-PFA
Non-detainable misdemeanor,15.9,12.9
Non-detainable felony,2.5,15.8
Detainable willful flight felony,13,19.1
Detainable public safety misdemeanor,3.3,5.4
Detainable public safety felony,4.5,13.7
Overall,14.1,13.7
