,Pre-PFA FTA Warrant,Post-PFA FTA Warrant,Pre-PFA FTA,Post-PFA FTA
Citation,14.1,18.4,17.9,33.2
Release ROR/Conditions,12.7,10.7,18.9,19.2
Monetary Bail/Detained,9.7,6.5,17,19.1
Overall,12.1,14.3,18,25.7
