,Pre-PFA,Post-PFA
Non-detainable misdemeanor,15.6,12.4
Non-detainable felony,12.8,13.3
Detainable willful flight felony,16.9,19.9
Detainable public safety misdemeanor,6.2,4.6
Detainable public safety felony,10.2,10.3
Overall,12.6,10.7
