,Pre-PFA Citation,Pre-PFA ROR,Pre-PFA Monetary Bail/Detention,Post-PFA Citation,Post-PFA ROR,Post-PFA Monetary Bail/Detention
Non-detainable misdemeanor,8674,6100,2000,11362,5799,80
Non-detainable felony,414,2302,1544,2817,2424,42
Detainable willful flight felony,47,1800,2876,1475,3348,189
Detainable public safety misdemeanor,987,3551,2341,560,6582,312
Detainable public safety felony,69,1010,5665,602,3978,2022
Overall,10191,14763,14426,16816,22131,2645
