,Pre-PFA,Post-PFA
Non-detainable misdemeanor,9.6,7.4
Non-detainable felony,13,0
Detainable willful flight felony,12.3,5.9
Detainable public safety misdemeanor,7,8.6
Detainable public safety felony,7.5,5
Overall,9.4,5.7
