,Pre-PFA,Post-PFA
Non-detainable misdemeanor,17.9,22
Non-detainable felony,13,20.8
Detainable willful flight felony,15.6,22.7
Detainable public safety misdemeanor,6.9,7.8
Detainable public safety felony,7,10
Overall,13.1,17.3
