,Pre-PFA,Post-PFA
Non-detainable misdemeanor,16,14.8
Non-detainable felony,18.6,9.1
Detainable willful flight felony,22.7,26.5
Detainable public safety misdemeanor,11.4,19
Detainable public safety felony,16.3,19.2
Overall,17.2,19.8
