,Pre-PFA,Post-PFA
Non-detainable misdemeanor,23.4,22.3
Non-detainable felony,18.9,24.1
Detainable willful flight felony,23,33.2
Detainable public safety misdemeanor,11.2,11.3
Detainable public safety felony,14.6,22.3
Overall,19,20.5
