,Pre-PFA,Post-PFA
Non-detainable misdemeanor,12.4,11.2
Non-detainable felony,18.7,17.1
Detainable willful flight felony,17.6,16.1
Detainable public safety misdemeanor,6,5.4
Detainable public safety felony,13.2,12
Overall,12.6,11.4
